id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
254,IPL-2011,Mumbai,2011-04-20,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,bat,normal,0,Mumbai Indians,0,7,MM Patel,Wankhede Stadium
255,IPL-2011,Kolkata,2011-04-20,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kochi Tuskers Kerala,6,0,DPMD Jayawardene,Eden Gardens
256,IPL-2011,Chandigarh,2011-04-21,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Punjab Kings,48,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali"
257,IPL-2011,Mumbai,2011-04-22,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,8,0,Harbhajan Singh,Wankhede Stadium
258,IPL-2011,Kolkata,2011-04-22,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,CH Gayle,Eden Gardens
259,IPL-2011,Delhi,2011-04-23,Delhi Capitals,Punjab Kings,Punjab Kings,field,normal,0,Delhi Capitals,29,0,DA Warner,Feroz Shah Kotla
260,IPL-2011,Hyderabad,2011-04-24,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Mumbai Indians,37,0,SL Malinga,"Rajiv Gandhi International Stadium, Uppal"
261,IPL-2011,Jaipur,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,SK Warne,Sawai Mansingh Stadium
262,IPL-2011,Chennai,2011-04-25,Chennai Super Kings,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Chennai Super Kings,25,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk"
263,IPL-2011,Delhi,2011-04-26,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,3,V Kohli,Feroz Shah Kotla
264,IPL-2011,Mumbai,2011-04-27,Rising Pune Supergiant,Chennai Super Kings,Rising Pune Supergiant,bat,normal,0,Chennai Super Kings,0,8,DE Bollinger,Dr DY Patil Sports Academy
265,IPL-2011,Kochi,2011-04-27,Sunrisers Hyderabad,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Sunrisers Hyderabad,55,0,I Sharma,Nehru Stadium
266,IPL-2011,Delhi,2011-04-28,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,0,Kolkata Knight Riders,17,0,MK Tiwary,Feroz Shah Kotla
267,IPL-2011,Jaipur,2011-04-29,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,J Botha,Sawai Mansingh Stadium
268,IPL-2011,Bangalore,2011-04-29,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Royal Challengers Bangalore,26,0,V Kohli,M Chinnaswamy Stadium
269,IPL-2011,Kochi,2011-04-30,Delhi Capitals,Kochi Tuskers Kerala,Delhi Capitals,bat,normal,0,Delhi Capitals,38,0,V Sehwag,Nehru Stadium
270,IPL-2011,Kolkata,2011-04-30,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,Iqbal Abdulla,Eden Gardens
271,IPL-2011,Jaipur,2011-05-01,Rising Pune Supergiant,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,LRPL Taylor,Sawai Mansingh Stadium
272,IPL-2011,Chennai,2011-05-01,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Chennai Super Kings,19,0,JA Morkel,"MA Chidambaram Stadium, Chepauk"
273,IPL-2011,Mumbai,2011-05-02,Mumbai Indians,Punjab Kings,Punjab Kings,field,normal,0,Mumbai Indians,23,0,KA Pollard,Wankhede Stadium
274,IPL-2011,Delhi,2011-05-02,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,7,P Parameswaran,Feroz Shah Kotla
275,IPL-2011,Hyderabad,2011-05-03,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,20,0,YK Pathan,"Rajiv Gandhi International Stadium, Uppal"
276,IPL-2011,Chennai,2011-05-04,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,8,MEK Hussey,"MA Chidambaram Stadium, Chepauk"
277,IPL-2011,Mumbai,2011-05-04,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Mumbai Indians,21,0,R Sharma,Dr DY Patil Sports Academy
278,IPL-2011,Kochi,2011-05-05,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kochi Tuskers Kerala,17,0,BJ Hodge,Nehru Stadium
279,IPL-2011,Hyderabad,2011-05-05,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,4,V Sehwag,"Rajiv Gandhi International Stadium, Uppal"
280,IPL-2011,Bangalore,2011-05-06,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,normal,0,Royal Challengers Bangalore,85,0,CH Gayle,M Chinnaswamy Stadium
281,IPL-2011,Kolkata,2011-05-07,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,1,Kolkata Knight Riders,10,0,Iqbal Abdulla,Eden Gardens
282,IPL-2011,Mumbai,2011-05-07,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Mumbai Indians,32,0,AT Rayudu,Wankhede Stadium
283,IPL-2011,Bangalore,2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,0,Royal Challengers Bangalore,0,9,CH Gayle,M Chinnaswamy Stadium
284,IPL-2011,Chandigarh,2011-05-08,Punjab Kings,Rising Pune Supergiant,Punjab Kings,bat,normal,0,Rising Pune Supergiant,0,5,R Sharma,"Punjab Cricket Association Stadium, Mohali"
285,IPL-2011,Jaipur,2011-05-09,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,63,0,M Vijay,Sawai Mansingh Stadium
286,IPL-2011,Hyderabad,2011-05-10,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,bat,normal,0,Rising Pune Supergiant,0,6,MR Marsh,"Rajiv Gandhi International Stadium, Uppal"
287,IPL-2011,Chandigarh,2011-05-10,Punjab Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Punjab Kings,76,0,BA Bhatt,"Punjab Cricket Association Stadium, Mohali"
288,IPL-2011,Jaipur,2011-05-11,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,S Aravind,Sawai Mansingh Stadium
289,IPL-2011,Chennai,2011-05-12,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,18,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk"
290,IPL-2011,Indore,2011-05-13,Kochi Tuskers Kerala,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,6,KD Karthik,Holkar Cricket Stadium
291,IPL-2011,Bangalore,2011-05-14,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,Royal Challengers Bangalore,0,4,CH Gayle,M Chinnaswamy Stadium
292,IPL-2011,Mumbai,2011-05-14,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,10,0,A Mishra,Wankhede Stadium
293,IPL-2011,Dharamsala,2011-05-15,Punjab Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Punjab Kings,29,0,PP Chawla,Himachal Pradesh Cricket Association Stadium
294,IPL-2011,Indore,2011-05-15,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,8,BJ Hodge,Holkar Cricket Stadium
295,IPL-2011,Mumbai,2011-05-16,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,6,A Mishra,Dr DY Patil Sports Academy
296,IPL-2011,Dharamsala,2011-05-17,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,normal,0,Punjab Kings,111,0,AC Gilchrist,Himachal Pradesh Cricket Association Stadium
297,IPL-2011,Chennai,2011-05-18,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,normal,0,Chennai Super Kings,11,0,WP Saha,"MA Chidambaram Stadium, Chepauk"
298,IPL-2011,Mumbai,2011-05-19,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,YK Pathan,Dr DY Patil Sports Academy
299,IPL-2011,Mumbai,2011-05-20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Rajasthan Royals,0,10,SR Watson,Wankhede Stadium
300,IPL-2011,Dharamsala,2011-05-21,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,normal,0,Sunrisers Hyderabad,82,0,S Dhawan,Himachal Pradesh Cricket Association Stadium
301,IPL-2011,Delhi,2011-05-21,Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,bat,no result,0,Tied,0,0,None,Feroz Shah Kotla
302,IPL-2011,Bangalore,2011-05-22,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,CH Gayle,M Chinnaswamy Stadium
303,IPL-2011,Kolkata,2011-05-22,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,JEC Franklin,Eden Gardens
304,IPL-2011,Mumbai,2011-05-24,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,SK Raina,Wankhede Stadium
305,IPL-2011,Mumbai,2011-05-25,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,MM Patel,Wankhede Stadium
306,IPL-2011,Chennai,2011-05-27,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,43,0,CH Gayle,"MA Chidambaram Stadium, Chepauk"
307,IPL-2011,Chennai,2011-05-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,58,0,M Vijay,"MA Chidambaram Stadium, Chepauk"
308,IPL-2012,Chennai,2012-04-04,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,RE Levi,"MA Chidambaram Stadium, Chepauk"
309,IPL-2012,Kolkata,2012-04-05,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,8,IK Pathan,Eden Gardens
310,IPL-2012,Mumbai,2012-04-06,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiant,28,0,SPD Smith,Wankhede Stadium
311,IPL-2012,Jaipur,2012-04-06,Rajasthan Royals,Punjab Kings,Punjab Kings,field,normal,0,Rajasthan Royals,31,0,AM Rahane,Sawai Mansingh Stadium
312,IPL-2012,Bangalore,2012-04-07,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,normal,0,Royal Challengers Bangalore,20,0,AB de Villiers,M Chinnaswamy Stadium
313,IPL-2012,Visakhapatnam,2012-04-07,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Chennai Super Kings,74,0,RA Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
314,IPL-2012,Jaipur,2012-04-08,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Rajasthan Royals,22,0,BJ Hodge,Sawai Mansingh Stadium
315,IPL-2012,Pune,2012-04-08,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,bat,normal,0,Rising Pune Supergiant,22,0,MN Samuels,Subrata Roy Sahara Stadium
316,IPL-2012,Visakhapatnam,2012-04-09,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Mumbai Indians,0,5,RG Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
317,IPL-2012,Bangalore,2012-04-10,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,42,0,L Balaji,M Chinnaswamy Stadium
318,IPL-2012,Delhi,2012-04-10,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,8,M Morkel,Feroz Shah Kotla
319,IPL-2012,Mumbai,2012-04-11,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,27,0,KA Pollard,Wankhede Stadium
320,IPL-2012,Chennai,2012-04-12,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,0,5,F du Plessis,"MA Chidambaram Stadium, Chepauk"
321,IPL-2012,Chandigarh,2012-04-12,Rising Pune Supergiant,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,7,AD Mascarenhas,"Punjab Cricket Association Stadium, Mohali"
322,IPL-2012,Kolkata,2012-04-13,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,0,5,Shakib Al Hasan,Eden Gardens
323,IPL-2012,Delhi,2012-04-19,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,normal,0,Delhi Capitals,0,5,KP Pietersen,Feroz Shah Kotla
324,IPL-2012,Pune,2012-04-14,Chennai Super Kings,Rising Pune Supergiant,Chennai Super Kings,bat,normal,0,Rising Pune Supergiant,0,7,JD Ryder,Subrata Roy Sahara Stadium
325,IPL-2012,Kolkata,2012-04-15,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Punjab Kings,2,0,SP Narine,Eden Gardens
326,IPL-2012,Bangalore,2012-04-15,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Rajasthan Royals,59,0,AM Rahane,M Chinnaswamy Stadium
327,IPL-2012,Mumbai,2012-04-16,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,7,S Nadeem,Wankhede Stadium
328,IPL-2012,Jaipur,2012-04-17,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,0,5,BJ Hodge,Sawai Mansingh Stadium
329,IPL-2012,Bangalore,2012-04-17,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,bat,normal,0,Royal Challengers Bangalore,0,6,CH Gayle,M Chinnaswamy Stadium
330,IPL-2012,Chandigarh,2012-04-18,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,normal,0,Kolkata Knight Riders,0,8,G Gambhir,"Punjab Cricket Association Stadium, Mohali"
331,IPL-2012,Hyderabad,2012-05-10,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,normal,0,Delhi Capitals,0,9,DA Warner,"Rajiv Gandhi International Stadium, Uppal"
332,IPL-2012,Chennai,2012-04-19,Chennai Super Kings,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Chennai Super Kings,13,0,KMDN Kulasekara,"MA Chidambaram Stadium, Chepauk"
333,IPL-2012,Chandigarh,2012-04-20,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,5,CH Gayle,"Punjab Cricket Association Stadium, Mohali"
334,IPL-2012,Chennai,2012-04-21,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,7,F du Plessis,"MA Chidambaram Stadium, Chepauk"
335,IPL-2012,Delhi,2012-04-21,Rising Pune Supergiant,Delhi Capitals,Delhi Capitals,field,normal,0,Rising Pune Supergiant,20,0,SC Ganguly,Feroz Shah Kotla
336,IPL-2012,Mumbai,2012-04-22,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,normal,0,Punjab Kings,0,6,SE Marsh,Wankhede Stadium
337,IPL-2012,Cuttack,2012-04-22,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,B Lee,Barabati Stadium
338,IPL-2012,Jaipur,2012-04-23,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Royal Challengers Bangalore,46,0,AB de Villiers,Sawai Mansingh Stadium
339,IPL-2012,Pune,2012-04-24,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,bat,normal,0,Delhi Capitals,0,8,V Sehwag,Subrata Roy Sahara Stadium
340,IPL-2012,Chandigarh,2012-04-25,Punjab Kings,Mumbai Indians,Punjab Kings,bat,normal,0,Mumbai Indians,0,4,AT Rayudu,"Punjab Cricket Association Stadium, Mohali"
341,IPL-2012,Pune,2012-04-26,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,18,0,CL White,Subrata Roy Sahara Stadium
342,IPL-2012,Delhi,2012-04-27,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,normal,0,Delhi Capitals,37,0,V Sehwag,Feroz Shah Kotla
343,IPL-2012,Chennai,2012-04-28,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,normal,0,Punjab Kings,7,0,Mandeep Singh,"MA Chidambaram Stadium, Chepauk"
344,IPL-2012,Kolkata,2012-04-28,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,47,0,G Gambhir,Eden Gardens
345,IPL-2012,Delhi,2012-04-29,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,normal,0,Delhi Capitals,1,0,V Sehwag,Feroz Shah Kotla
346,IPL-2012,Mumbai,2012-04-29,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,DW Steyn,Wankhede Stadium
347,IPL-2012,Chennai,2012-04-30,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,5,G Gambhir,"MA Chidambaram Stadium, Chepauk"
348,IPL-2012,Cuttack,2012-05-01,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,13,0,KC Sangakkara,Barabati Stadium
349,IPL-2012,Jaipur,2012-05-01,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,normal,0,Delhi Capitals,0,6,P Negi,Sawai Mansingh Stadium
350,IPL-2012,Bangalore,2012-05-02,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,4,Azhar Mahmood,M Chinnaswamy Stadium
351,IPL-2012,Pune,2012-05-03,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,normal,0,Mumbai Indians,1,0,SL Malinga,Subrata Roy Sahara Stadium
352,IPL-2012,Chennai,2012-05-04,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Chennai Super Kings,10,0,SK Raina,"MA Chidambaram Stadium, Chepauk"
353,IPL-2012,Kolkata,2012-05-05,Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,7,0,SP Narine,Eden Gardens
354,IPL-2012,Chandigarh,2012-05-05,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,43,0,SR Watson,"Punjab Cricket Association Stadium, Mohali"
355,IPL-2012,Mumbai,2012-05-06,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,2,DR Smith,Wankhede Stadium
356,IPL-2012,Bangalore,2012-05-06,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,5,AB de Villiers,M Chinnaswamy Stadium
357,IPL-2012,Delhi,2012-05-07,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,normal,0,Kolkata Knight Riders,0,6,JH Kallis,Feroz Shah Kotla
358,IPL-2012,Pune,2012-05-08,Rising Pune Supergiant,Rajasthan Royals,Rising Pune Supergiant,bat,normal,0,Rajasthan Royals,0,7,SR Watson,Subrata Roy Sahara Stadium
359,IPL-2012,Hyderabad,2012-05-08,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Punjab Kings,25,0,Mandeep Singh,"Rajiv Gandhi International Stadium, Uppal"
360,IPL-2012,Mumbai,2012-05-09,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,CH Gayle,Wankhede Stadium
361,IPL-2012,Jaipur,2012-05-10,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,BW Hilfenhaus,Sawai Mansingh Stadium
362,IPL-2012,Pune,2012-05-11,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Royal Challengers Bangalore,35,0,CH Gayle,Subrata Roy Sahara Stadium
363,IPL-2012,Kolkata,2012-05-12,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,27,0,RG Sharma,Eden Gardens
364,IPL-2012,Chennai,2012-05-12,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,9,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk"
365,IPL-2012,Jaipur,2012-05-13,Rajasthan Royals,Rising Pune Supergiant,Rajasthan Royals,bat,normal,0,Rajasthan Royals,45,0,A Chandila,Sawai Mansingh Stadium
366,IPL-2012,Chandigarh,2012-05-13,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,normal,0,Punjab Kings,0,4,DJ Hussey,"Punjab Cricket Association Stadium, Mohali"
367,IPL-2012,Bangalore,2012-05-14,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,AT Rayudu,M Chinnaswamy Stadium
368,IPL-2012,Kolkata,2012-05-14,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,5,MEK Hussey,Eden Gardens
369,IPL-2012,Delhi,2012-05-15,Punjab Kings,Delhi Capitals,Punjab Kings,bat,normal,0,Delhi Capitals,0,5,UT Yadav,Feroz Shah Kotla
370,IPL-2012,Mumbai,2012-05-16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Kolkata Knight Riders,32,0,SP Narine,Wankhede Stadium
371,IPL-2012,Dharamsala,2012-05-17,Chennai Super Kings,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,6,AC Gilchrist,Himachal Pradesh Cricket Association Stadium
372,IPL-2012,Delhi,2012-05-17,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,normal,0,Royal Challengers Bangalore,21,0,CH Gayle,Feroz Shah Kotla
373,IPL-2012,Hyderabad,2012-05-18,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,normal,0,Sunrisers Hyderabad,0,5,DW Steyn,"Rajiv Gandhi International Stadium, Uppal"
374,IPL-2012,Dharamsala,2012-05-19,Punjab Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,6,UT Yadav,Himachal Pradesh Cricket Association Stadium
375,IPL-2012,Pune,2012-05-19,Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,34,0,Shakib Al Hasan,Subrata Roy Sahara Stadium
376,IPL-2012,Hyderabad,2012-05-20,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,9,0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal"
377,IPL-2012,Jaipur,2012-05-20,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Mumbai Indians,0,10,DR Smith,Sawai Mansingh Stadium
378,IPL-2012,Pune,2012-05-22,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,18,0,YK Pathan,Subrata Roy Sahara Stadium
379,IPL-2012,Bangalore,2012-05-23,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Chennai Super Kings,38,0,MS Dhoni,M Chinnaswamy Stadium
380,IPL-2012,Chennai,2012-05-25,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Chennai Super Kings,86,0,M Vijay,"MA Chidambaram Stadium, Chepauk"
381,IPL-2012,Chennai,2012-05-27,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,5,MS Bisla,"MA Chidambaram Stadium, Chepauk"
382,IPL-2013,Kolkata,2013-04-03,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,SP Narine,Eden Gardens
383,IPL-2013,Bangalore,2013-04-04,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,2,0,CH Gayle,M Chinnaswamy Stadium
384,IPL-2013,Hyderabad,2013-04-05,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Sunrisers Hyderabad,22,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal"
385,IPL-2013,Delhi,2013-04-06,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,normal,0,Rajasthan Royals,5,0,R Dravid,Feroz Shah Kotla
386,IPL-2013,Chennai,2013-04-06,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,9,0,KA Pollard,"MA Chidambaram Stadium, Chepauk"
387,IPL-2013,Pune,2013-04-07,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,bat,normal,0,Punjab Kings,0,8,M Vohra,Subrata Roy Sahara Stadium
388,IPL-2013,Hyderabad,2013-04-07,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,0,Sunrisers Hyderabad,0,0,GH Vihari,"Rajiv Gandhi International Stadium, Uppal"
389,IPL-2013,Jaipur,2013-04-08,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Rajasthan Royals,19,0,SK Trivedi,Sawai Mansingh Stadium
390,IPL-2013,Mumbai,2013-04-09,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,0,Mumbai Indians,44,0,KD Karthik,Wankhede Stadium
391,IPL-2013,Chandigarh,2013-04-10,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,10,MEK Hussey,"Punjab Cricket Association Stadium, Mohali"
392,IPL-2013,Bangalore,2013-04-11,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,CH Gayle,M Chinnaswamy Stadium
393,IPL-2013,Pune,2013-04-11,Rajasthan Royals,Rising Pune Supergiant,Rajasthan Royals,bat,normal,0,Rising Pune Supergiant,0,7,AJ Finch,Subrata Roy Sahara Stadium
394,IPL-2013,Delhi,2013-04-12,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,normal,0,Sunrisers Hyderabad,0,3,A Mishra,Feroz Shah Kotla
